Subgenus,Tissue.code,Pigment,Mean,n,sd
C_purpurata,y,Chl.b,0,5,0
C_purpurata,y,Chl.a,1.6389748591831759,5,0.7538160081210888
C_purpurata,y,Tot.Chl,1.6389748591831759,5,0.7538160081210888
C_purpurata,y,Tot.Car,9.589631010469612,5,4.886278741391677
C_purpurata,y,VAZ.Car,0.4543016418269341,5,0.026022206932600874
C_purpurata,y,Lut.Car,0.33439563460120364,5,0.027077490983096256
C_purpurata,y,Lut.epo.Car,0.06682130658561415,5,0.06212012898636428
C_purpurata,y,a.Car.Car,0.006142214736335872,5,0.008010236092104392
C_purpurata,y,b.Car.Car,0.2051605088355264,5,0.004186082190818996
C_purpurata,y,Neo.Car,0,5,0
C_purpurata,o,Chl.b,0,6,0
C_purpurata,o,Chl.a,0.09805833343139167,6,0.24019288193460667
C_purpurata,o,Tot.Chl,0.09805833343139167,6,0.24019288193460667
C_purpurata,o,Tot.Car,11.845864904256807,6,4.0089796242954
C_purpurata,o,VAZ.Car,0.14586707742498897,6,0.00855192895556641
C_purpurata,o,Lut.Car,0.19381284906794158,6,0.05108286566659867
C_purpurata,o,Lut.epo.Car,0.049700953356692064,6,0.04370796370583193
C_purpurata,o,a.Car.Car,0.11520227752896717,6,0.079868621346474
C_purpurata,o,b.Car.Car,0.5451177959781023,6,0.040694332013508666
C_purpurata,o,Neo.Car,0,6,0
C_purpurata,h,Chl.b,0.36313047206315674,3,0.6289604273898584
C_purpurata,h,Chl.a,0.6116916796773033,3,0.36045062897663954
C_purpurata,h,Tot.Chl,0.97482215174046,3,0.985489735063135
C_purpurata,h,Chl.a.b,0.9370327701269588,1,NA
C_purpurata,h,Tot.Car,9.056633755472236,3,1.5735185120566364
C_purpurata,h,VAZ.Car,0.2682230948389295,3,0.011729329476755614
C_purpurata,h,Lut.Car,0.25902433497503446,3,0.04897007788234085
C_purpurata,h,Lut.epo.Car,0.08143479650439833,3,0.03378927368651957
C_purpurata,h,a.Car.Car,0.07450777433470522,3,0.032892699496675164
C_purpurata,h,b.Car.Car,0.3982447958513308,3,0.04654925801959326
C_purpurata,h,Neo.Car,0,3,0
C_purpurata,f,Chl.b,0,5,0
C_purpurata,f,Chl.a,0.96791915964359,5,0.6336576128764458
C_purpurata,f,Tot.Chl,0.96791915964359,5,0.6336576128764458
C_purpurata,f,Tot.Car,6.399731213350476,5,1.4512953175085546
C_purpurata,f,VAZ.Car,0.21022460957619105,5,0.06346993763645929
C_purpurata,f,Lut.Car,0.19731407024749242,5,0.03495849203284909
C_purpurata,f,Lut.epo.Car,0.08927017200743081,5,0.038879038679073816
C_purpurata,f,a.Car.Car,0.08362922599392471,5,0.04310875721104044
C_purpurata,f,b.Car.Car,0.5088320941823918,5,0.12473707466696168
C_purpurata,f,Neo.Car,0,5,0
Cuscuta,y,Chl.b,3.8478975547475223,5,1.1804279644686735
Cuscuta,y,Chl.a,20.099971966096312,5,7.0124888155425475
Cuscuta,y,Tot.Chl,23.947869520843835,5,8.147500661630373
